P,S,seed,overlap_ratio,approx_num_patches,n_params_millions,max_steps,steps_completed,final_loss,mean_last_100,steps_per_sec,status,precision,device
16,12,42,0.25,170,8.653,100000,100000,27.621673583984375,9725.389456729888,10.033,done,fp32+tf32,cuda
16,4,42,0.75,509,8.653,100000,100000,27.05368423461914,9725.51842546463,6.825,done,fp32+tf32,cuda
16,8,42,0.5,255,8.653,100000,100000,26.624324798583984,9713.32884124756,10.565,done,fp32+tf32,cuda
24,24,42,0.0,86,8.673,100000,100000,27.64942169189453,9727.124899578095,9.912,done,fp32+tf32,cuda
8,8,42,0.0,256,8.632,100000,100000,27.350120544433594,9727.06580274582,10.285,done,fp32+tf32,cuda
