model,overlap,fs_S,n_locks,lowest_lock,n_half,stride_locks,half_stride
p16-s16,0.0,32.0,7,32.0,8,32 64 96 128 160 192 224,16 48 80 112 144 176 208 240
p16-s12,0.25,42.7,5,42.67,6,42.67 85.33 128 170.67 213.33,21.33 64 106.67 149.33 192 234.67
p16-s8,0.5,64.0,3,64.0,4,64 128 192,32 96 160 224
p8-s8,0.0,64.0,3,64.0,4,64 128 192,32 96 160 224
p24-s24,0.0,21.3,11,21.33,12,21.33 42.67 64 85.33 106.67 128 149.33 170.67 192 213.33 234.67,10.67 32 53.33 74.67 96 117.33 138.67 160 181.33 202.67 224 245.33
